,complexity,length_of_chunk,std,variance
292,3,24,0.0,0.0
293,3,22,0.0,0.0
294,3,20,0.0,0.0
295,3,18,0.0,0.0
296,3,16,0.0,0.0
297,3,14,0.0,0.0
298,3,12,0.5061999999999998,0.25623843999999973
299,3,10,0.3886000000000003,0.15100996000000022
300,4,26,0.0,0.0
301,4,24,0.0,0.0
302,4,22,0.0,0.0
303,4,20,0.0,0.0
304,4,18,0.0,0.0
305,4,16,0.0,0.0
306,4,14,0.0,0.0
307,4,12,0.9864999999999999,0.9731822499999998
308,4,10,0.9025499999999997,0.8145965024999995
309,5,26,0.0,0.0
310,5,24,0.0,0.0
311,5,22,0.0,0.0
312,5,20,0.0,0.0
313,5,18,0.0,0.0
314,5,16,0.0,0.0
315,5,14,0.0,0.0
316,5,12,0.3405999999999998,0.11600835999999985
317,5,10,0.14000000000000012,0.019600000000000034
318,3,12,0.0,0.0
319,3,10,0.0,0.0
320,4,12,0.0,0.0
321,4,10,0.0,0.0
322,5,12,0.0,0.0
323,5,10,0.0,0.0
324,3,16,0.0,0.0
325,3,14,0.0,0.0
326,3,12,0.0,0.0
327,3,10,0.0,0.0
328,4,16,0.0,0.0
329,4,14,0.0,0.0
330,4,12,0.0,0.0
331,4,10,0.0,0.0
332,5,16,0.0,0.0
333,5,14,0.0,0.0
334,5,12,0.0,0.0
335,5,10,0.0,0.0
336,3,14,0.0,0.0
337,3,12,0.0,0.0
338,3,10,0.0,0.0
339,4,14,0.0,0.0
340,4,12,0.0,0.0
341,4,10,0.0,0.0
342,5,14,0.0,0.0
343,5,12,0.0,0.0
344,5,10,0.0,0.0
345,3,30,0.0,0.0
346,3,28,0.0,0.0
347,3,26,0.0,0.0
348,3,24,0.0,0.0
349,3,22,0.0,0.0
350,3,20,0.0,0.0
351,3,18,0.0,0.0
352,3,16,0.0,0.0
353,3,14,2.92325,8.5453905625
354,3,12,2.6491499999999997,7.0179957224999985
355,3,10,2.576285334870085,6.637246126666667
356,4,30,0.0,0.0
357,4,28,0.0,0.0
358,4,26,0.0,0.0
359,4,24,0.0,0.0
360,4,22,0.0,0.0
361,4,20,0.0,0.0
362,4,18,0.0,0.0
363,4,16,0.0,0.0
364,4,14,3.073,9.443328999999999
365,4,12,3.0902,9.54933604
366,4,10,2.807831952869608,7.883920275555557
367,5,30,0.0,0.0
368,5,28,0.0,0.0
369,5,26,0.0,0.0
370,5,24,0.0,0.0
371,5,22,0.0,0.0
372,5,20,0.0,0.0
373,5,18,0.0,0.0
374,5,16,0.0,0.0
375,5,14,2.1639,4.68246321
376,5,12,2.0675000000000003,4.274556250000001
377,5,10,1.6773587855779561,2.8135324955555556
378,3,16,0.0,0.0
379,3,14,0.0,0.0
380,3,12,0.0,0.0
381,3,10,0.0,0.0
382,4,16,0.0,0.0
383,4,14,0.0,0.0
384,4,12,0.0,0.0
385,4,10,0.0,0.0
386,5,16,0.0,0.0
387,5,14,0.0,0.0
388,5,12,0.0,0.0
389,5,10,0.0,0.0
390,3,18,0.0,0.0
391,3,16,0.0,0.0
392,3,14,0.0,0.0
393,3,12,0.0,0.0
394,3,10,0.0,0.0
395,4,18,0.0,0.0
396,4,16,0.0,0.0
397,4,14,0.0,0.0
398,4,12,0.0,0.0
399,4,10,0.0,0.0
400,5,18,0.0,0.0
401,5,16,0.0,0.0
402,5,14,0.0,0.0
403,5,12,0.0,0.0
404,5,10,0.0,0.0
405,3,10,0.0,0.0
406,4,10,0.0,0.0
407,5,10,0.0,0.0
408,3,28,0.0,0.0
409,3,26,0.0,0.0
410,3,24,0.0,0.0
411,3,22,0.0,0.0
412,3,20,0.0,0.0
413,3,18,0.0,0.0
414,3,16,0.0,0.0
415,3,14,1.5086000000000004,2.275873960000001
416,3,12,0.3880499999999998,0.15058280249999983
417,3,10,1.5156,2.29704336
418,4,28,0.0,0.0
419,4,26,0.0,0.0
420,4,24,0.0,0.0
421,4,22,0.0,0.0
422,4,20,0.0,0.0
423,4,18,0.0,0.0
424,4,16,0.0,0.0
425,4,14,1.1744000000000003,1.3792153600000008
