,GFI,complexity,document,length_of_chunk,number_of_chunk
613,7.9149,4,summaryL1/hu003d_2007_06.txt,24,1
614,8.119,4,summaryL1/hu003d_2007_06.txt,22,1
615,8.5218,4,summaryL1/hu003d_2007_06.txt,20,1
616,9.0389,4,summaryL1/hu003d_2007_06.txt,18,1
617,9.2188,4,summaryL1/hu003d_2007_06.txt,16,1
618,8.2022,4,summaryL1/hu003d_2007_06.txt,14,1
619,8.166,4,summaryL1/hu003d_2007_06.txt,12,1
620,8.0424,4,summaryL1/hu003d_2007_06.txt,12,2
621,8.4832,4,summaryL1/hu003d_2007_06.txt,10,1
622,8.6753,4,summaryL1/hu003d_2007_06.txt,10,2
623,5.9602,5,summaryL1/hu003d_2007_06.txt,27,1
637,6.0673,5,summaryL1/hu003d_2007_06.txt,26,1
638,6.3344,5,summaryL1/hu003d_2007_06.txt,24,1
639,6.5855,5,summaryL1/hu003d_2007_06.txt,22,1
640,6.9165,5,summaryL1/hu003d_2007_06.txt,20,1
641,7.3722,5,summaryL1/hu003d_2007_06.txt,18,1
642,7.7696,5,summaryL1/hu003d_2007_06.txt,16,1
643,7.3438,5,summaryL1/hu003d_2007_06.txt,14,1
644,7.3497,5,summaryL1/hu003d_2007_06.txt,12,1
645,5.3356,5,summaryL1/hu003d_2007_06.txt,12,2
646,7.5016,5,summaryL1/hu003d_2007_06.txt,10,1
647,6.3224,5,summaryL1/hu003d_2007_06.txt,10,2
648,11.7633,3,summaryL1/fu001d_2005_02.txt,15,1
668,10.891,3,summaryL1/fu001d_2005_02.txt,14,1
669,10.9561,3,summaryL1/fu001d_2005_02.txt,12,1
670,10.5238,3,summaryL1/fu001d_2005_02.txt,10,1
671,8.3486,4,summaryL1/fu001d_2005_02.txt,15,1
691,7.543,4,summaryL1/fu001d_2005_02.txt,14,1
692,7.3582,4,summaryL1/fu001d_2005_02.txt,12,1
693,7.0338,4,summaryL1/fu001d_2005_02.txt,10,1
694,7.0478,5,summaryL1/fu001d_2005_02.txt,15,1
714,7.0143,5,summaryL1/fu001d_2005_02.txt,14,1
715,6.7233,5,summaryL1/fu001d_2005_02.txt,12,1
716,6.4969,5,summaryL1/fu001d_2005_02.txt,10,1
717,16.0028,3,summaryL1/fu064d_2007_08.txt,8,1
740,11.3402,4,summaryL1/fu064d_2007_08.txt,8,1
763,9.1316,5,summaryL1/fu064d_2007_08.txt,8,1
786,12.3726,3,summaryL1/fu024d_2005_02.txt,29,1
799,12.2555,3,summaryL1/fu024d_2005_02.txt,28,1
800,12.3236,3,summaryL1/fu024d_2005_02.txt,26,1
801,12.6721,3,summaryL1/fu024d_2005_02.txt,24,1
802,12.1818,3,summaryL1/fu024d_2005_02.txt,22,1
803,12.4914,3,summaryL1/fu024d_2005_02.txt,20,1
804,13.4382,3,summaryL1/fu024d_2005_02.txt,18,1
805,13.7378,3,summaryL1/fu024d_2005_02.txt,16,1
806,13.5956,3,summaryL1/fu024d_2005_02.txt,14,1
807,11.907,3,summaryL1/fu024d_2005_02.txt,14,2
808,12.8716,3,summaryL1/fu024d_2005_02.txt,12,1
809,12.8766,3,summaryL1/fu024d_2005_02.txt,12,2
