,GFI,complexity,document,length_of_chunk,number_of_chunk
232,9.472,5,en114417450.txt,350,1
233,9.4711,5,en114417450.txt,300,1
234,9.4644,5,en114417450.txt,250,1
235,9.5828,5,en114417450.txt,200,1
236,9.3764,5,en114417450.txt,200,2
237,9.7617,5,en114417450.txt,150,1
238,9.1826,5,en114417450.txt,150,2
239,10.2624,5,en114417450.txt,100,1
240,8.8993,5,en114417450.txt,100,2
241,9.2514,5,en114417450.txt,100,3
242,9.5012,5,en114417450.txt,100,4
243,11.2067,5,en114417450.txt,75,1
244,8.3351,5,en114417450.txt,75,2
245,9.3892,5,en114417450.txt,75,3
246,8.9808,5,en114417450.txt,75,4
247,9.1602,5,en114417450.txt,75,5
248,11.0984,5,en114417450.txt,50,1
249,9.4399,5,en114417450.txt,50,2
250,8.7542,5,en114417450.txt,50,3
251,9.0442,5,en114417450.txt,50,4
252,8.9952,5,en114417450.txt,50,5
253,9.5059,5,en114417450.txt,50,6
254,9.4774,5,en114417450.txt,50,7
255,9.529,5,en114417450.txt,50,8
256,11.3092,5,en114417450.txt,40,1
257,10.9148,5,en114417450.txt,40,2
258,8.843,5,en114417450.txt,40,3
259,7.7851,5,en114417450.txt,40,4
260,9.0471,5,en114417450.txt,40,5
261,9.0513,5,en114417450.txt,40,6
262,9.1085,5,en114417450.txt,40,7
263,10.4437,5,en114417450.txt,40,8
264,8.5736,5,en114417450.txt,40,9
265,9.775,5,en114417450.txt,40,10
266,11.7588,5,en114417450.txt,30,1
267,10.9155,5,en114417450.txt,30,2
268,8.9284,5,en114417450.txt,30,3
269,9.8649,5,en114417450.txt,30,4
270,7.3748,5,en114417450.txt,30,5
271,8.637,5,en114417450.txt,30,6
272,9.3288,5,en114417450.txt,30,7
273,9.1699,5,en114417450.txt,30,8
274,8.894,5,en114417450.txt,30,9
275,9.8774,5,en114417450.txt,30,10
276,11.3795,5,en114417450.txt,30,11
277,7.3215,5,en114417450.txt,30,12
278,10.2581,5,en114417450.txt,30,13
279,12.2261,5,en114417450.txt,20,1
280,10.5043,5,en114417450.txt,20,2
281,11.3278,5,en114417450.txt,20,3
282,10.4986,5,en114417450.txt,20,4
283,6.9522,5,en114417450.txt,20,5
284,10.7616,5,en114417450.txt,20,6
285,8.8114,5,en114417450.txt,20,7
286,6.6997,5,en114417450.txt,20,8
287,8.4338,5,en114417450.txt,20,9
288,9.6381,5,en114417450.txt,20,10
289,9.5083,5,en114417450.txt,20,11
290,8.5815,5,en114417450.txt,20,12
291,8.4056,5,en114417450.txt,20,13
292,9.7954,5,en114417450.txt,20,14
293,10.0332,5,en114417450.txt,20,15
294,10.8501,5,en114417450.txt,20,16
295,9.1404,5,en114417450.txt,20,17
296,8.0014,5,en114417450.txt,20,18
297,10.2254,5,en114417450.txt,20,19
298,9.3335,5,en114417450.txt,20,20
299,12.8936,5,en114417450.txt,10,1
300,11.5404,5,en114417450.txt,10,2
301,10.8877,5,en114417450.txt,10,3
302,10.1781,5,en114417450.txt,10,4
303,10.279,5,en114417450.txt,10,5
304,12.3825,5,en114417450.txt,10,6
305,11.578,5,en114417450.txt,10,7
306,9.4738,5,en114417450.txt,10,8
307,6.1949,5,en114417450.txt,10,9
308,8.0122,5,en114417450.txt,10,10
309,10.1759,5,en114417450.txt,10,11
310,11.3375,5,en114417450.txt,10,12
311,8.5153,5,en114417450.txt,10,13
312,9.1256,5,en114417450.txt,10,14
313,4.16,5,en114417450.txt,10,15
314,9.046,5,en114417450.txt,10,16
315,10.8615,5,en114417450.txt,10,17
316,6.156,5,en114417450.txt,10,18
317,8.4832,5,en114417450.txt,10,19
318,11.0582,5,en114417450.txt,10,20
319,8.6922,5,en114417450.txt,10,21
320,10.288,5,en114417450.txt,10,22
321,9.7972,5,en114417450.txt,10,23
322,7.3986,5,en114417450.txt,10,24
323,8.7966,5,en114417450.txt,10,25
324,8.0096,5,en114417450.txt,10,26
325,9.925,5,en114417450.txt,10,27
326,9.7633,5,en114417450.txt,10,28
327,6.9,5,en114417450.txt,10,29
328,13.121,5,en114417450.txt,10,30
329,11.6206,5,en114417450.txt,10,31
330,10.0492,5,en114417450.txt,10,32
